date,dem,state,agency
2014-03-10,5.59653559493788e-10,AL,nyt
2014-03-11,5.90783441969794e-10,AL,nyt
2014-03-12,5.98391858943778e-10,AL,nyt
2014-03-13,5.77472823494624e-10,AL,nyt
2014-03-14,5.62461819791373e-10,AL,nyt
2014-03-15,5.37085108703555e-10,AL,nyt
2014-03-16,5.17458588315695e-10,AL,nyt
2014-03-17,5.35074529024831e-10,AL,nyt
2014-03-18,4.88053765366871e-10,AL,nyt
2014-03-19,4.12050314344667e-10,AL,nyt
2014-03-20,4.1719979497992e-10,AL,nyt
2014-03-21,4.21457909913654e-10,AL,nyt
2014-03-22,4.04613871472807e-10,AL,nyt
2014-03-23,4.23468277533417e-10,AL,nyt
2014-03-24,4.29546491925964e-10,AL,nyt
2014-03-25,4.55509239872264e-10,AL,nyt
2014-03-26,4.33103058230009e-10,AL,nyt
2014-03-27,4.48389216244898e-10,AL,nyt
2014-03-28,4.49700225593075e-10,AL,nyt
2014-03-29,6.58989720305698e-10,AL,nyt
2014-03-30,6.46733908823366e-10,AL,nyt
2014-03-31,5.86355310839597e-10,AL,nyt
2014-04-01,5.80020563908728e-10,AL,nyt
2014-04-02,6.09153456937365e-10,AL,nyt
2014-04-03,6.01999490847523e-10,AL,nyt
2014-04-04,6.02762996873526e-10,AL,nyt
2014-04-05,5.69976613804604e-10,AL,nyt
2014-04-06,5.41052390801082e-10,AL,nyt
2014-04-07,5.12166359968745e-10,AL,nyt
2014-04-08,5.12910339074978e-10,AL,nyt
2014-04-09,4.09222813269293e-10,AL,nyt
2014-04-10,4.12769189567321e-10,AL,nyt
2014-04-11,3.65934649974397e-10,AL,nyt
2014-04-12,4.05024998687954e-10,AL,nyt
2014-04-13,4.13593462790734e-10,AL,nyt
2014-04-14,4.11344215402516e-10,AL,nyt
2014-04-15,4.06921354923205e-10,AL,nyt
2014-04-16,3.90430263904607e-10,AL,nyt
2014-04-17,4.05138895103269e-10,AL,nyt
2014-04-18,4.14945929675284e-10,AL,nyt
2014-04-19,4.04676130886277e-10,AL,nyt
2014-04-20,4.07500076829752e-10,AL,nyt
2014-04-21,4.11973218364891e-10,AL,nyt
2014-04-22,3.75362925889797e-10,AL,nyt
2014-04-23,4.03850446049965e-10,AL,nyt
2014-04-24,3.80510685137494e-10,AL,nyt
2014-04-25,3.88844735172702e-10,AL,nyt
2014-04-26,3.88844735172702e-10,AL,nyt
2014-04-27,3.91060871920115e-10,AL,nyt
2014-04-28,3.54386622102653e-10,AL,nyt
2014-01-01,30.7559732504271,AR,nyt
2014-01-02,30.6926219658002,AR,nyt
2014-01-03,30.758827855824,AR,nyt
2014-01-04,30.7561148027379,AR,nyt
2014-01-05,30.3305541076292,AR,nyt
2014-01-06,30.2673697271932,AR,nyt
2014-01-07,30.2209823437546,AR,nyt
2014-01-08,30.233985497197,AR,nyt
2014-01-09,30.0314522791631,AR,nyt
2014-01-10,30.3012391376769,AR,nyt
2014-01-11,30.4103644581317,AR,nyt
2014-01-12,30.333522819879,AR,nyt
2014-01-13,30.3487396204017,AR,nyt
2014-01-14,30.6262749277564,AR,nyt
2014-01-15,30.6421664764408,AR,nyt
2014-01-16,30.6637893335246,AR,nyt
2014-01-17,30.2396659314057,AR,nyt
2014-01-18,29.9414084369618,AR,nyt
2014-01-19,30.0681324368807,AR,nyt
2014-01-20,28.6347276810938,AR,nyt
2014-01-21,29.3283162749027,AR,nyt
2014-01-22,29.6000729018957,AR,nyt
2014-01-23,29.5695392447101,AR,nyt
2014-01-24,29.5688943908673,AR,nyt
2014-01-25,29.3999097053858,AR,nyt
2014-01-26,28.8264962668708,AR,nyt
2014-01-27,27.5091071220787,AR,nyt
2014-01-28,27.2656829002106,AR,nyt
2014-01-29,27.5881939163355,AR,nyt
2014-01-30,25.7917198780558,AR,nyt
2014-01-31,26.4782762545573,AR,nyt
2014-02-01,26.8941308112599,AR,nyt
2014-02-02,26.8560087258568,AR,nyt
2014-02-03,26.9520679703969,AR,nyt
2014-02-04,26.9129614563737,AR,nyt
2014-02-05,26.2393928023179,AR,nyt
2014-02-06,26.1609208651545,AR,nyt
2014-02-07,26.127403335163,AR,nyt
2014-02-08,26.1614183202876,AR,nyt
2014-02-09,26.4215106535819,AR,nyt
2014-02-10,24.2647554477952,AR,nyt
2014-02-11,24.3003589664004,AR,nyt
2014-02-12,24.3757652502694,AR,nyt
2014-02-13,24.3815346636623,AR,nyt
2014-02-14,24.4099659974776,AR,nyt
2014-02-15,24.3611803786203,AR,nyt
2014-02-16,24.4048269336688,AR,nyt
2014-02-17,24.4525485259861,AR,nyt
2014-02-18,24.6052866201403,AR,nyt
2014-02-19,24.502808405807,AR,nyt
2014-02-20,25.716603449945,AR,nyt
2014-02-21,25.6377259767994,AR,nyt
2014-02-22,25.5864345343877,AR,nyt
2014-02-23,25.6566395378876,AR,nyt
2014-02-24,25.4549425341009,AR,nyt
2014-02-25,25.2721569769903,AR,nyt
2014-02-26,25.2569395854945,AR,nyt
2014-02-27,25.3361735268941,AR,nyt
2014-02-28,25.195842426112,AR,nyt
2014-03-01,25.1084703572439,AR,nyt
2014-03-02,25.2073281364938,AR,nyt
2014-03-03,25.0575008887268,AR,nyt
2014-03-04,25.0389584579167,AR,nyt
2014-03-05,24.8338237513335,AR,nyt
2014-03-06,24.9258313360182,AR,nyt
2014-03-07,24.8505682278618,AR,nyt
2014-03-08,24.7957040914979,AR,nyt
2014-03-09,24.7634053386933,AR,nyt
2014-03-10,24.7660978986959,AR,nyt
2014-03-11,24.7636082034204,AR,nyt
2014-03-12,24.7146618973644,AR,nyt
2014-03-13,24.6499113403541,AR,nyt
2014-03-14,24.5047000349789,AR,nyt
